[0.9260832625318607, 0.892948173322005]
[0.9150382327952421, 0.8878504672897196]
[0.9005947323704333, 0.8734069668649108]
[0.5038232795242141, 0.4817332200509771]
[0.5038232795242141, 0.4817332200509771]
[0.5038232795242141, 0.4817332200509771]
[1.0, 0.9141886151231946]
[1.0, 0.9150382327952421]
[0.9991503823279524, 0.9252336448598131]
[0.9566694987255735, 0.9022939677145284]
[0.8377230246389125, 0.5004248088360238]
[0.5038232795242141, 0.4817332200509771]
[1.0, 0.9150382327952421]
[1.0, 0.9150382327952421]
[1.0, 0.91928632115548]
[0.9745114698385726, 0.9201359388275276]
[0.8190314358538657, 0.703483432455395]
[0.5038232795242141, 0.4817332200509771]
[1.0, 0.8793542905692439]
[1.0, 0.8793542905692439]
[1.0, 0.8793542905692439]
[0.9974511469838573, 0.8751062022090059]
[0.5964316057774002, 0.514018691588785]
[0.5038232795242141, 0.4817332200509771]
[1.0, 0.7731520815632965]
[1.0, 0.7731520815632965]
[1.0, 0.7731520815632965]
[1.0, 0.7425658453695837]
[0.5038232795242141, 0.4817332200509771]
[0.5038232795242141, 0.4817332200509771]
