[0.8598726114649682, 0.7622080679405521]
[0.832271762208068, 0.7494692144373672]
[0.7685774946921444, 0.6687898089171974]
[0.21656050955414013, 0.11040339702760085]
[0.21656050955414013, 0.11040339702760085]
[0.21656050955414013, 0.11040339702760085]
[1.0, 0.8407643312101911]
[1.0, 0.8407643312101911]
[1.0, 0.8343949044585988]
[0.9150743099787686, 0.7983014861995754]
[0.3205944798301486, 0.13800424628450106]
[0.21656050955414013, 0.11040339702760085]
[1.0, 0.8450106157112527]
[1.0, 0.8450106157112527]
[1.0, 0.8450106157112527]
[0.9617834394904459, 0.8301486199575372]
[0.47983014861995754, 0.23991507430997877]
[0.2229299363057325, 0.11040339702760085]
[1.0, 0.8195329087048833]
[1.0, 0.8195329087048833]
[1.0, 0.8195329087048833]
[1.0, 0.8131634819532909]
[0.23142250530785563, 0.09978768577494693]
[0.22929936305732485, 0.09978768577494693]
[1.0, 0.505307855626327]
[1.0, 0.505307855626327]
[1.0, 0.505307855626327]
[1.0, 0.4692144373673036]
[0.22929936305732485, 0.09129511677282377]
[0.22929936305732485, 0.09129511677282377]
