max_features,max_depth,n_estimators,train accuracy,test accuracy
10,50,5,0.89171974522293,0.5987261146496815
10,50,25,0.9469214437367304,0.7940552016985138
10,50,50,0.9554140127388535,0.8067940552016986
10,50,75,0.9660297239915074,0.8195329087048833
10,50,100,0.9639065817409767,0.8343949044585988
10,50,200,0.9596602972399151,0.8343949044585988
10,None,5,0.881104033970276,0.6072186836518046
10,None,25,0.9511677282377919,0.7876857749469215
10,None,50,0.9554140127388535,0.8174097664543525
10,None,75,0.9575371549893843,0.8259023354564756
10,None,100,0.9660297239915074,0.8195329087048833
10,None,200,0.9617834394904459,0.851380042462845
25,50,5,0.8938428874734607,0.6560509554140127
25,50,25,0.9575371549893843,0.8004246284501062
25,50,50,0.9575371549893843,0.8174097664543525
25,50,75,0.9639065817409767,0.8386411889596603
25,50,100,0.9554140127388535,0.8301486199575372
25,50,200,0.9639065817409767,0.8365180467091295
25,None,5,0.8980891719745223,0.6411889596602972
25,None,25,0.9511677282377919,0.7770700636942676
25,None,50,0.9554140127388535,0.8237791932059448
25,None,75,0.9596602972399151,0.8259023354564756
25,None,100,0.9596602972399151,0.8280254777070064
25,None,200,0.9554140127388535,0.8386411889596603
50,50,5,0.9193205944798302,0.6475583864118896
50,50,25,0.9532908704883227,0.7855626326963907
50,50,50,0.9532908704883227,0.8110403397027601
50,50,75,0.9532908704883227,0.8237791932059448
50,50,100,0.9617834394904459,0.8386411889596603
50,50,200,0.9617834394904459,0.851380042462845
50,None,5,0.9044585987261147,0.6666666666666666
50,None,25,0.9469214437367304,0.7961783439490446
50,None,50,0.9639065817409767,0.8195329087048833
50,None,75,0.9596602972399151,0.8365180467091295
50,None,100,0.9660297239915074,0.821656050955414
50,None,200,0.9617834394904459,0.8407643312101911
