max_features,max_depth,n_estimators,train accuracy,test accuracy
0.01,200,0.613588110403397,0.5477707006369427
0.01,500,0.6348195329087049,0.5902335456475584
0.01,750,0.6369426751592356,0.5796178343949044
0.01,1000,0.6390658174097664,0.5753715498938429
0.1,200,0.6687898089171974,0.5966029723991507
0.1,500,0.6985138004246284,0.5881104033970276
0.1,750,0.7091295116772823,0.6029723991507431
0.1,1000,0.7176220806794055,0.613588110403397
0.25,200,0.7176220806794055,0.613588110403397
0.25,500,0.832271762208068,0.6348195329087049
0.25,750,0.8598726114649682,0.6369426751592356
0.25,1000,0.8726114649681529,0.6560509554140127
0.5,200,0.7919320594479831,0.5987261146496815
0.5,500,0.8577494692144374,0.6560509554140127
0.5,750,0.8768577494692145,0.6390658174097664
0.5,1000,0.8959660297239915,0.6624203821656051
