,name,accuracy
0,"max_features = sqrt,max_depth = 5","[[0.7898089171974523, 0.6220806794055201], [0.910828025477707, 0.7452229299363057], [0.9278131634819533, 0.7685774946921444], [0.940552016985138, 0.7770700636942676], [0.9384288747346072, 0.7813163481953291], [0.9447983014861996, 0.7664543524416136]]"
1,"max_features = sqrt,max_depth = 10","[[0.9002123142250531, 0.6475583864118896], [0.940552016985138, 0.7707006369426752], [0.9575371549893843, 0.7961783439490446], [0.9596602972399151, 0.802547770700637], [0.9596602972399151, 0.8195329087048833], [0.9575371549893843, 0.8110403397027601]]"
2,"max_features = sqrt,max_depth = None","[[0.8980891719745223, 0.6645435244161358], [0.9511677282377919, 0.7600849256900213], [0.9660297239915074, 0.8046709129511678], [0.9639065817409767, 0.802547770700637], [0.9617834394904459, 0.8280254777070064], [0.9554140127388535, 0.821656050955414]]"
3,"max_features = None,max_depth = 5","[[0.8343949044585988, 0.6411889596602972], [0.8938428874734607, 0.7494692144373672], [0.9129511677282378, 0.7494692144373672], [0.9341825902335457, 0.7898089171974523], [0.9235668789808917, 0.7622080679405521], [0.921443736730361, 0.7770700636942676]]"
4,"max_features = None,max_depth = 10","[[0.9129511677282378, 0.6560509554140127], [0.9447983014861996, 0.7919320594479831], [0.9511677282377919, 0.7898089171974523], [0.9554140127388535, 0.7940552016985138], [0.9575371549893843, 0.7876857749469215], [0.9532908704883227, 0.802547770700637]]"
5,"max_features = None,max_depth = None","[[0.8938428874734607, 0.6857749469214437], [0.9490445859872612, 0.7791932059447984], [0.9469214437367304, 0.7876857749469215], [0.9426751592356688, 0.7940552016985138], [0.9511677282377919, 0.7834394904458599], [0.9532908704883227, 0.7919320594479831]]"
