[0.9260832625318607, 0.897196261682243]
[0.9150382327952421, 0.887000849617672]
[0.9005947323704333, 0.8742565845369583]
[0.5038232795242141, 0.48343245539507224]
[0.5038232795242141, 0.48343245539507224]
[0.5038232795242141, 0.48343245539507224]
[1.0, 0.907391673746814]
[1.0, 0.907391673746814]
[0.9991503823279524, 0.9116397621070518]
[0.9566694987255735, 0.9005947323704333]
[0.8377230246389125, 0.5123194562446899]
[0.5038232795242141, 0.48343245539507224]
[1.0, 0.9056924384027187]
[1.0, 0.9056924384027187]
[1.0, 0.907391673746814]
[0.9745114698385726, 0.9116397621070518]
[0.8190314358538657, 0.7170773152081563]
[0.5038232795242141, 0.48343245539507224]
[1.0, 0.8742565845369583]
[1.0, 0.8742565845369583]
[1.0, 0.8742565845369583]
[0.9974511469838573, 0.8683092608326253]
[0.5964316057774002, 0.5004248088360238]
[0.5038232795242141, 0.48343245539507224]
[1.0, 0.7689039932030586]
[1.0, 0.7689039932030586]
[1.0, 0.7689039932030586]
[1.0, 0.745964316057774]
[0.5038232795242141, 0.48343245539507224]
[0.5038232795242141, 0.48343245539507224]
