[0.8598726114649682, 0.7664543524416136]
[0.832271762208068, 0.7558386411889597]
[0.7685774946921444, 0.6326963906581741]
[0.21656050955414013, 0.07643312101910828]
[0.21656050955414013, 0.07643312101910828]
[0.21656050955414013, 0.07643312101910828]
[1.0, 0.8471337579617835]
[1.0, 0.8471337579617835]
[1.0, 0.8471337579617835]
[0.9150743099787686, 0.8067940552016986]
[0.3205944798301486, 0.11040339702760085]
[0.21656050955414013, 0.07643312101910828]
[1.0, 0.8641188959660298]
[1.0, 0.8641188959660298]
[1.0, 0.8641188959660298]
[0.9617834394904459, 0.8301486199575372]
[0.47983014861995754, 0.2229299363057325]
[0.2229299363057325, 0.07643312101910828]
[1.0, 0.8259023354564756]
[1.0, 0.8259023354564756]
[1.0, 0.8259023354564756]
[1.0, 0.8067940552016986]
[0.23142250530785563, 0.07643312101910828]
[0.22929936305732485, 0.07643312101910828]
[1.0, 0.4989384288747346]
[1.0, 0.4989384288747346]
[1.0, 0.4989384288747346]
[1.0, 0.45222929936305734]
[0.22929936305732485, 0.07643312101910828]
[0.22929936305732485, 0.07643312101910828]
